Location Name,Address,Description,Accessibility Notes,Hours of Operation,Seasonal variability hours,Phone,Web link,Latitude,Longitude,Location,geometry_point
Crestwood Arena,9940 147 Street NW,Within the Arena,The arena is almost fully accessible.  Accessible washrooms on main level,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/crestwoodarena,53.538639,-113.575681,"(53.538639,-113.575681)",POINT (-113.575681 53.538639)
Mill Woods Twin Arenas,7207-28 Avenue NW,Within the Recreation Centre,The arena is almost fully accessible.  2 self-contained accessible washrooms on the second level in the main hallway,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/millwoodsarena,53.456832,-113.444971,"(53.456832,-113.444971)",POINT (-113.444971 53.456832)
Northgate Lions Seniors Recreation Centre,7524-139 Avenue NW,Within the Recreation Centre,The facility is fully accessible.  Washrooms are barrier free,Mon-Friday 8:15-16:30 Closed Sat & Sun,Same hours year round,311,edmonton.ca/northgateseniors,53.602369,-113.458278,"(53.602369,-113.458278)",POINT (-113.458278 53.602369)
Voyageur Park,100 Saskatchewan Avenue in Devon,Washroom Building,Basic accessibility,Open 24 hours a day,Same hours year round,780-987-8300,https://devon.ca/Community/Facilities-Recreation/Voyageur-Park,53.370629,-113.748507,"(53.370629,-113.748507)",POINT (-113.748507 53.370629)
McConachie Library,16607-50 Street NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 13:00 to 17:00",Same hours year round,780-442-5314,https://www.epl.ca/locations/EPLMCN,53.62752,-113.41132,"(53.62752,-113.41132)",POINT (-113.41132 53.62752)
Highlands Park,6112-113 Avenue NW,Within the Park Pavillion,"Old building, poor accessibility",Summer: Only open during green shack times 10:30-1:30 M-F. Closed during Winter,Same hours year round,311,,53.568019,-113.433923,"(53.568019,-113.433923)",POINT (-113.433923 53.568019)
Zoie Gardiner Park,71 Street 127 Avenue NW,Washroom Building,"Old washroom, no paved access to building",Summer: Only open during green shack times 10:30-5:30 M-F. Closed during Winter,Winter closure,311,edmonton.ca/parkwashrooms,53.585387,-113.449569,"(53.585387,-113.449569)",POINT (-113.449569 53.585387)
Peter Hemingway Fitness & Leisure Centre,13808-111 Avenue NW,Within the Leisure Centre,The majority of the facility is accessible.  Wheelchair accessible washrooms.,Currently closed for renovations,Same hours year round,311,https://www.edmonton.ca/activities_parks_recreation/peter-hemingway,53.560112,-113.560380,"(53.560112,-113.560380)",POINT (-113.56038 53.560112)
Terwillegar Community Recreation Centre Arenas,2051-Leger Road NW,Within the Recreation Centre,The Recreation Centre and Arenas are fully accessible,Mon-Fri 05:30-22:30 Sat-Sun 06:00-22:00,Same hours year round,311,edmonton.ca/terwillegarrec,53.458833,-113.583955,"(53.458833,-113.583955)",POINT (-113.583955 53.458833)
Tipton Arena,10849-81 Avenue NW,Within the Arena,"The arena is almost fully accessible, with accessible washrooms",Variable hours - Only open during ice bookings,Seasonal variability hours,311,edmonton.ca/tiptonarena,53.516653,-113.511048,"(53.516653,-113.511048)",POINT (-113.511048 53.516653)
Alfred H Savage Centre,13909-Fox Drive NW,Within the Park Pavillion,"Fully accessible washroom, paved access from parking lot",09:00 to 21:00,Same hours year round,311,edmonton.ca/whitemudpark,53.502563,-113.559941,"(53.502563,-113.559941)",POINT (-113.559941 53.502563)
Kitchener Park,115 Street and 103 Avenue NW,Washroom Building,"Older building, poor accessibility",Summer: Only open during green shack times 10:30-17:30 M-F. Closed during Winter,Same hours year round,311,edmonton.ca/parkwashrooms,53.544410,-113.518512,"(53.544410,-113.518512)",POINT (-113.518512 53.54441)
Commonwealth Community Recreation Centre,11000 Stadium Road NW,Within the Recreation Centre,The facility is fully accessible.  Washrooms are barrier free,Mon-Friday 06:00-22:00 Sat-Sun 07:00-21:00,Same hours year round,311,edmonton.ca/commonwealthrec,53.557560,-113.476795,"(53.557560,-113.476795)",POINT (-113.476795 53.55756)
Queen Elizabeth Planetarium,13808-111 Avenue NW,Within the building,Accessible Public Washrooms,08:00-22:00 daily,Same hours year round,311,https://telusworldofscienceedmonton.ca/,53.562207,-113.560362,"(53.562207,-113.560362)",POINT (-113.560362 53.562207)
Southgate LRT Station,111 Street and 48 Avenue NW,Within the Transit Facility,All entrances are accessible.  Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/southgate-lrt-station,53.485512,-113.516599,"(53.485512,-113.516599)",POINT (-113.516599 53.485512)
Westmount Park,10948-129 Street NW,Within the Park Pavillion,"Old facility, poor accessibility",Summer: Only open during green shack times 14:30-17:30 M-F. Closed during Winter,Winter closure,311,edmonton.ca/westmount,53.555214,-113.544346,"(53.555214,-113.544346)",POINT (-113.544346 53.555214)
Edmonton Valley Zoo Plaza,13315-Buena Vista Road NW,Within the facility,"Accessible Public washrooms in the Saito Centre, Urban Farm, and Entry Plaza buildings (public access to plaza when zoo is open)",May-Oct 9:30 to 18:00 Oct-May 9:30 to16:00,Same hours year round,311,edmonton.ca/zoo,53.510905,-113.553548,"(53.510905,-113.553548)",POINT (-113.553548 53.510905)
Hermitage Park,2115-Hermitage Road NW,Entrance on south side of Park Maintenance Building,Washrooms in the maintenance building are not wheelchair accessible,9:00 to 21:00,Same hours year round,311,edmonton.ca/hermitagepark,53.579934,-113.374354,"(53.579934,-113.374354)",POINT (-113.374354 53.579934)
Castle Downs Library,"106 Lakeside Landing, 15379 Castle Downs Road NW",Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1804,https://www.epl.ca/locations/EPLCSD,53.615874,-113.514930,"(53.615874,-113.514930)",POINT (-113.51493 53.615874)
William Hawrelak Park Pavilion,9330-Groat Road NW,Within the Park Pavillion,Wheelchair accessible washrooms in pavillion,Closed for Park Rehabilitation,Closed,311,https://www.edmonton.ca/projects_plans/parks_recreation/hawrelak-park-rehabilitation-project,53.528371,-113.549547,"(53.528371,-113.549547)",POINT (-113.549547 53.528371)
Mill Woods Park Portable Toilet,66 Street and 23 Avenue NW,Portable Toilet (Seasonal),Standard Portable Toilet,Park Hours - 5:00 - 23:00 daily,Same hours year round,311,edmonton.ca/millwoodspark,53.455225,-113.435944,"(53.455225,-113.435944)",POINT (-113.435944 53.455225)
Forest Heights Trail Portable Toilet,84 Street and 101 Avenue NW,Portable Toilet (Seasonal),Standard portable toilet,Park Hours - 5:00 - 23:00 daily,Same hours year round,311,,53.54129,-113.45878,"(53.54129,-113.45878)",POINT (-113.45878 53.54129)
Idylwylde (Bonnie Doon) Library,8310-88 Avenue NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1808,https://www.epl.ca/locations/EPLIDY,53.523637,-113.456736,"(53.523637,-113.456736)",POINT (-113.456736 53.523637)
Capilano Library,9915-67 Street NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1802,https://www.epl.ca/locations/EPLCPL,53.539924,-113.432069,"(53.539924,-113.432069)",POINT (-113.432069 53.539924)
Stanley A Milner Library,7 Sir Winston Churchill Square NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-7070,https://www.epl.ca/locations/EPLMNA,53.54300,-113.48979,"(53.54300,-113.48979)",POINT (-113.48979 53.543)
Clareview Community Recreation Centre,3804-139 Avenue,Within the Recreation Centre,The facility is fully accessible.  Washrooms are barrier free,"Mon-Friday 5:30-21:00
Sat - Sun 6:30-21:00",Same hours year round,311,edmonton.ca/clareviewrec,53.60251,-113.40395,"(53.60251,-113.40395)",POINT (-113.40395 53.60251)
Woodcroft (Westmount) Library,13420-114 Avenue NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1830,https://www.epl.ca/locations/EPLWOO,53.563902,-113.553938,"(53.563902,-113.553938)",POINT (-113.553938 53.563902)
Boyle Street Community Services,10116-105 Avenue NW,MobileToilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.54787,-113.49509,"(53.54787,-113.49509)",POINT (-113.49509 53.54787)
Jasper Place Transit Centre,15701 Stony Plain Road NW,Portable Toilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.547879,-113.495021,"(53.547879,-113.495021)",POINT (-113.495021 53.547879)
West Rivers Edge Pavillion,River Valley Drive in Fort Saskatchewan,Within the Park Pavillion,unknown,8:00-4:30 M-F,Same hours year round,780-992-6200,https://parks.fortsask.ca/,53.684621,-113.271496,"(53.684621,-113.271496)",POINT (-113.271496 53.684621)
Downtown Community Arena,10245-105 Avenue NW,Within the Arena,"Accessible changerooms, washrooms on both levels, viewing area",Variable hours - Only open during ice bookings,Seasonal variability hours,311,edmonton.ca/DowntownCommunityArena,53.54738,-113.49607,"(53.54738,-113.49607)",POINT (-113.49607 53.54738)
Millwoods Library,2610 Hewes Way NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1818,https://www.epl.ca/locations/EPLMLW,53.456582,-113.427193,"(53.456582,-113.427193)",POINT (-113.427193 53.456582)
Londonderry Arena,14520-66 Street NW,Within the Arena,The Arena is fully accessible.  Accessible washrooms & change rooms,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/londonderryarena,53.607199,-113.444445,"(53.607199,-113.444445)",POINT (-113.444445 53.607199)
Northgate Transit Centre,97 Street and 137 Avenue NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/northgate-transit-centre,53.59985,-113.49014,"(53.59985,-113.49014)",POINT (-113.49014 53.59985)
Davies LRT Station / Transit Centre,Wagner Rd / Davies Road NW,Within the Transit Facility,Accessible Public Washroom,Currently closed until line opens,Same hours year round,311,https://www.edmonton.ca/ets/davies-transit-centre,53.499910,-113.444131,"(53.499910,-113.444131)",POINT (-113.444131 53.49991)
Century Park Transit Centre,24 Avenue and 11 Street NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/century-park-transit-centre,53.457276,-113.515566,"(53.457276,-113.515566)",POINT (-113.515566 53.457276)
Glengarry Arena,13340-85 Street NW,Within the Arena,Glengarry Arena is almost fully accessible with accessible washrooms on main level,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/glengarryarena,53.594863,-113.472232,"(53.594863,-113.472232)",POINT (-113.472232 53.594863)
Riverside Golf Course,8630-Rowland Road NW,Within a building,"Accessible parking, limited access to clubhouse & washrooms",Summer: Mon-Sun 09:00 to 21:00. Closed during Winter,Winter closure,311,edmonton.ca/riversidegolf,53.549535,-113.464592,"(53.549535,-113.464592)",POINT (-113.464592 53.549535)
Victoria Park Site #6 Portable Toilet,12031-River Valley Road NW,Portable Toilet (Seasonal),"Accessible portable toilet at path junction west of Royal Glenora, entrance to picnic site #6",Park Hours - 5:00 - 23:00 daily,Same hours year round,311,edmonton.ca/victoriapark,53.532387,-113.516877,"(53.532387,-113.516877)",POINT (-113.516877 53.532387)
Central Lions Recreation Centre,11113-113 Street NW,Within the Recreation Centre,The facility is fully accessible,"M-F 05:00-22:00, Sat & Sun 09:00-21:00 Holidays Closed",Same hours year round,311,edmonton.ca/centrallions,53.559570,-113.51486,"(53.559570,-113.51486)",POINT (-113.51486 53.55957)
Borden Park Natural Swimming Pool,7615-Borden Park Road NW,Within the Pool,Borden Park Pool has full accessibility,Pool entrance by payment only,Winter closure,311,edmonton.ca/BordenNaturalSwimmingPool,53.563473,-113.454264,"(53.563473,-113.454264)",POINT (-113.454264 53.563473)
Kingsway / RAH Transit Centre,111 Avenue and 106 Street NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Winter closure,311,https://www.edmonton.ca/ets/kingsway-royal-alex-lrt-station,53.558415,-113.501431,"(53.558415,-113.501431)",POINT (-113.501431 53.558415)
Sir Wilfrid Laurier Park Outhouse,13221-Buena Vista Road NW,Permanent Outhouse,Not accessible,Park Hours - 5:00 - 23:00 daily,Same hours year round,311,edmonton.ca/wilfredlaurierpark,53.508872,-113.556723,"(53.508872,-113.556723)",POINT (-113.556723 53.508872)
Grand Trunk Arena,13025-112 Street NW,Within the Arena,The arena is fully accessible,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/grandtrunkarena,53.59016,-113.51303,"(53.59016,-113.51303)",POINT (-113.51303 53.59016)
Legislature Bandshell,9515-Fortway Dr. NW,Portable Toilet (Seasonal),Standard Portable Toilet,Summer only,Winter closure,,https://www.assembly.ab.ca/visit/plan-your-visit,53.532006,-113.504393,"(53.532006,-113.504393)",POINT (-113.504393 53.532006)
William Hawrelak Shelter 3 (Playground Washroom),9330-Groat Road NW,Within the Park Shelter,"Partially barrier free, heavy doors and lip on thresholds.  Washroom does not open for the season until late May/early June",Closed for Park Rehabilitation,Closed,311,https://www.edmonton.ca/projects_plans/parks_recreation/hawrelak-park-rehabilitation-project,53.527276,-113.544047,"(53.527276,-113.544047)",POINT (-113.544047 53.527276)
Confederation Arena,11204-43 Avenue NW,Within the Arena,The arena is almost fully accessible.  Accessible washrooms & change rooms,Variable hours - Only open during ice bookings,Same hours year round,311,Edmonton.ca/confederationarena,53.47991,-113.52058,"(53.47991,-113.52058)",POINT (-113.52058 53.47991)
Whitemud Crossing Library,145 Whitemud Crossing Shopping Centre. 4211-106 Street NW,Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-1822,https://www.epl.ca/locations/EPLWMC,53.479437,-113.502087,"(53.479437,-113.502087)",POINT (-113.502087 53.479437)
City Hall,1 Sir Winston Churchill Square,Several bathrooms within City Hall as well as skate change room,Fully accessible washrooms,Mon-Fri 8:00-18:00 Sat-Sun & Holidays 10:00-18:00,Same hours year round,311,edmonton.ca/cityhall,53.54550,-113.49017,"(53.54550,-113.49017)",POINT (-113.49017 53.5455)
Fred Broadstock Outdoor Pool,15720-105 Avenue NW,Within the Pool,Fred Broadstock Pool has full accessiblity,Pool entrance by payment only,Winter closure,311,edmonton.ca/fredbroadstock,53.54895,-113.59311,"(53.54895,-113.59311)",POINT (-113.59311 53.54895)
Castle Downs Pavilion,11524-153 Avenue NW,Within the building,Fully accessible washrooms in park pavillion,Mon - Sun 08:00 to 20:00,Same hours year round,311,edmonton.ca/castledownspark,53.615731,-113.520248,"(53.615731,-113.520248)",POINT (-113.520248 53.615731)
Oliver Pool,10315-119 Street NW,Within the Pool change rooms,"Accessible parking, no accessible change rooms or washrooms",Pool entrance by payment only,Winter closure,311,edmonton.ca/oliverpool,53.545324,-113.526005,"(53.545324,-113.526005)",POINT (-113.526005 53.545324)
Beechmount Cemetery,12420-104 Street NW,Within the building,"Accessible parking, Button activated main door, Limited access to washroom",Mon-Fri 8:30-4:30,Same hours year round,311,edmonton.ca/cemeterys,53.580025,-113.499181,"(53.580025,-113.499181)",POINT (-113.499181 53.580025)
Stadium LRT Station,84 Street & 111 Avenue NW,Within the Transit Facility,All entrances are accessible.  Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/stadium-lrt-station,53.560154,-113.471020,"(53.560154,-113.471020)",POINT (-113.47102 53.560154)
Unity Square West,11744-104 Street NW,Portable Toilet (Seasonal),Temporary Trailer Unit & Accessible Portable Toilet,10:00-21:00,Winter closure,311,edmonton.ca/parkwashrooms,53.547105,-113.525814,"(53.547105,-113.525814)",POINT (-113.525814 53.547105)
Kinsmen Twin Arena,1979-111 Street NW,Within the facility,Accessible Washrooms,Variable hours - Only open during ice bookings,Seasonal variability hours,311,edmonton.ca/kinsmentwinarenas,53.45095,-113.51389,"(53.45095,-113.51389)",POINT (-113.51389 53.45095)
Mill Creek Pool,9555-84 Avenue NW,Within the building,"Accessible parking, no accessible washrooms","Currently closed for renovations, Pool entrance by payment only",Winter closure,311,edmonton.ca/millcreekpool,53.519375,-113.473972,"(53.519375,-113.473972)",POINT (-113.473972 53.519375)
Terwillegar Community Recreation Centre/Pool,2051-Leger Road NW,Within the Recreation Centre,The Recreation Centre and Arenas are fully accessible,Mon-Fri 05:30-22:30 Sat-Sun 06:00-22:00,Same hours year round,311,edmonton.ca/terwillegarrec,53.457718,-113.581562,"(53.457718,-113.581562)",POINT (-113.581562 53.457718)
Edmonton Tower Public Washroom,10111-104 Avenue NW,"Within the building, 2nd floor",Fully accessible washrooms,Mon-Sun 6:00 to 20:00,Same hours year round,311,edmonton.ca/edmontonservicecentre,53.54580,-113.49460,"(53.54580,-113.49460)",POINT (-113.4946 53.5458)
Callingwood Park Amenity Building,11740-69 Avenue NW,Within the Park Pavillion,Accessible Public Washrooms,09:00 to 21:00 Daily in summer,Winter Closure,311,edmonton.ca/callingwoodpark,53.506513,-113.627120,"(53.506513,-113.627120)",POINT (-113.62712 53.506513)
Jackie Parker Park Pavilion,4540-50 Street NW,Within the Park Pavillion,Accessible Public Washroom,6:00-22:00 daily,Same hours year round,311,edmonton.ca/jackieparkerpark,53.484645,-113.424080,"(53.484645,-113.424080)",POINT (-113.42408 53.484645)
Heritage Valley Transit Centre,Ellerslie Road and 127 Street,Within the Transit Facility,Accessible Public Washrooms,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/heritage-valley-transit-centre,53.425932,-113.544912,"(53.425932,-113.544912)",POINT (-113.544912 53.425932)
Louise McKinney Park Riverfront Amenity Building,9735-Grierson Hill Road,Within the Park Pavillion,Fully Accessible Washrooms in the Riverfront Plaza amenity building,09:00-21:00,Same hours year round,311,edmonton.ca/louisemckinneypark,53.540770,-113.483009,"(53.540770,-113.483009)",POINT (-113.483009 53.54077)
Queen Elizabeth Park Washroom Building,90 Avenue & 104 Street NW,Washroom Building,"Older washroom building with limited wheelchair accessibility, large step and steep ramp in the entranceways.",9:00 to 21:00,Same hours year round,311,edmonton.ca/queenelizabethpark,53.524363,-113.497097,"(53.524363,-113.497097)",POINT (-113.497097 53.524363)
South Haven Cemetery,5004-Meridian Street NW,Within a building/facility,"Accessible parking, Button activated main door, accessible washroom on main floor","Monday-Friday 5:30am - 10:30 pm, Saturday - Sunday 6 am-10 pm, Stat Holidays 8 am- 8 pm",Same hours year round,311,edmonton.ca/cemeteries,53.488266,-113.346778,"(53.488266,-113.346778)",POINT (-113.346778 53.488266)
Legislature Pedway,9811-109 Street NW,Within the facility,Accessible Washrooms,Pedway & washrooms currently closed to the public,Same hours year round,,https://www.assembly.ab.ca/visit/plan-your-visit,53.535762,-113.506099,"(53.535762,-113.506099)",POINT (-113.506099 53.535762)
Millwoods Transit Centre / LRT Stop,Hewes Way NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,edmonton.ca/millwoodstransitcentre,53.457911,-113.42957,"(53.457911,-113.42957)",POINT (-113.42957 53.457911)
